---------------------------------------------------------------
Brand: samsung
Manufacturer: samsung
Model: SM-F731B
API Version: 34
Application Version Name: 1.7.00.9
Application Version Code: 170009100
BUILD TYPE : release
Build CL : d5eec29
Device Version Code: samsung/b5qxxx/b5q:14/UP1A.231005.007/F731BXXS4DXLF:user/release-keys
Organization ID: defaultOrgId
Group ID: defaultGrpId
Device name: Varunchaya
Device ID: 5e599debbaac046e
Device IP: 10.156.254.105
User Reported Msg: >>>>>>>  Kam_Feedback
---------------------------------------------------------------
2025-01-31 00:23:35.840 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]OnBoardingLogger | cleanupLogs

2025-01-31 00:23:35.843 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]KamController | ----  onCreate: pre init ----th_TH

2025-01-31 00:23:35.843 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]KamController | KAM state is changing from:  [L3.d@290b5f9] to: [L3.c@6a5893e]

2025-01-31 00:23:35.843 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]KamAppState | [170009100] InitState - enter

2025-01-31 00:23:35.845 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]WeakSingletons | addToWeakSingleton with value: C4.q@78cacec and type class C4.q

2025-01-31 00:23:35.845 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]WeakSingletons | addToWeakSingleton with value: C4.C@bb3babb and type class C4.C

2025-01-31 00:23:35.850 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]PolicyManager | starting background policy refresh in: 0 ms

2025-01-31 00:23:35.850 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]WeakSingletons | addToWeakSingleton with value: C4.x@1594797 and type class C4.x

2025-01-31 00:23:35.856 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]Utils | isSupportSakAttest : key_type = sakv2,gak,sgak,rkp

2025-01-31 00:23:35.856 GMT+07:00 | 29907 | 29907 | I | [KAM-d5eec29]ServerWork | getChallenge mChallenge:KAM::2025-01-31 00:23:35::76331394851061895344269351685027405735-5879496172342216928-1753202862939948189

2025-01-31 00:23:35.875 GMT+07:00 | 29907 | 29947 | I | [KAM-d5eec29]PolicyManager | AUTO_DELETE_UNUSED_PROFILE_AFTER(String): = null

2025-01-31 00:23:35.880 GMT+07:00 | 29907 | 29947 | I | [KAM-d5eec29]PolicyManager | PRE -> {doKAMAuthToUnlockDevice=false, doKAMLightweightLauncherReverifyAfter=0, doKAMAzureADClientID=, doKAMCleanupOnLoginApps=[com.microsoft.appmanager, com.microsoft.office.excel, com.microsoft.teams, com.microsoft.office.officehubrow, com.microsoft.office.onenote, com.microsoft.office.powerpoint, com.microsoft.office, com.microsoft.office.word, com.microsoft.office.outlook, com.microsoft.sharepoint, com.microsoft.skydrive], doKAMSyncOrgID=, doKAMSyncGroupID=, doKAMHomeScreenTitle=, doKAMSyncDevicesBy=Group ID, doKAMCleanupExcludedApps=[], doKAMBiometricNotice=, doKAMHomeScreenDescription=, doKAMCleanupOnLogin=false, doKAMMainLoginApp=com.airwatch.lockdown.launcher, doKAMSyncSendUDPPort=49158, schemaVersion=2, doKAMCleanupOnLogout=false, doKAMShowDeviceSerialNumber=false, doKAMSyncTCPPort=7788, doKAMAzureADTenantID=, doKAMAutoDeleteUnusedProfileAfter=3, doKAMMainLoginMethod=PIN+Face, doKAMSyncReceiveUDPPort=49159, doKAMAutoLogoutOnCharge=false, doKAMAutoLogoutOnScreenOffAfter=0, doKAMSyncEnable=true, doKAMMainLoginPINLength=4}

2025-01-31 00:23:35.881 GMT+07:00 | 29907 | 29947 | I | [KAM-d5eec29]PolicyKey | schema version: 2 - expecting: 2

